fiscal_quarter,assets,capex,cash,cost_of_revenue,current_assets,current_debt_maturities,current_liabilities,deferred_revenue,depreciation_and_amortization,diluted_eps,diluted_shares,equity,gross_profit,interest_expense,inventory,liabilities,long_term_debt,net_income,operating_cash_flow,operating_income,pretax_income,receivables,research_and_development,revenue,sales_and_marketing,selling_general_admin,shares_outstanding,short_term_investments,stock_based_compensation,tax_expense,total_debt_reported,short_term_debt,short_term_borrowings,net_interest_income,deposits,loans,provision_for_credit_losses,rental_revenue,total_debt,net_debt,net_cash,free_cash_flow,revenue_growth,sequential_revenue_growth,gross_margin,operating_margin,net_margin,current_ratio,debt_to_assets,ocf_margin,free_cash_flow_margin,free_cash_flow_conversion,capex_intensity,research_and_development_intensity,sales_and_marketing_intensity,stock_based_compensation_intensity,dilution,return_on_assets,return_on_equity,effective_tax_rate,nopat,return_on_invested_capital,ebitda,interest_coverage,debt_to_ebitda,quick_ratio,share_price,market_cap,enterprise_value,ev_revenue,ev_ebitda,price_earnings,price_free_cash_flow
2022-Q3,336309000000.0,2102000000.0,27502000000.0,47074000000.0,112292000000.0,14009000000.0,129873000000.0,7728000000.0,2805000000.0,1.2,16262203000.0,58107000000.0,35885000000.0,719000000.0,5433000000.0,278202000000.0,94700000000.0,19442000000.0,22892000000.0,23076000000.0,23066000000.0,21803000000.0,6797000000.0,82959000000.0,,6012000000.0,16095378000.0,20729000000.0,2243000000.0,3624000000.0,108700000000.0,,,,,,,,108700000000.0,81198000000.0,-81198000000.0,20790000000.0,,,0.4325630733253776,0.2781615014645789,0.2343567304331055,0.8646292916926536,0.32321466270602334,0.2759435383743777,0.25060572089827504,1.0693344306141344,0.025337817476102652,0.0819320387179209,,0.027037452235441604,,,,0.15711436746726784,19450428856.32533,,25881000000.0,32.09457579972184,4.199992272323326,0.8227961162058318,,,,,,,
2023-Q1,346747000000.0,3787000000.0,20535000000.0,66822000000.0,128777000000.0,9740000000.0,137286000000.0,7992000000.0,2916000000.0,1.88,15955718000.0,56727000000.0,50332000000.0,1003000000.0,6820000000.0,290020000000.0,99627000000.0,29998000000.0,34005000000.0,36016000000.0,35623000000.0,23752000000.0,7709000000.0,117154000000.0,,6607000000.0,15842407000.0,30820000000.0,2905000000.0,5625000000.0,109400000000.0,,,,,,,,109400000000.0,88865000000.0,-88865000000.0,30218000000.0,0.41219156450776895,0.41219156450776895,0.42962254809908323,0.30742441572630896,0.2560561312460522,0.9380199000626429,0.3155038111360733,0.2902589753657579,0.25793400139986683,1.007333822254817,0.03232497396589105,0.06580227734435017,,0.02479642180377964,-0.01884646256106881,0.08783467241338924,0.5224585053207238,0.15790360160570419,30328943884.56896,0.21291164094089413,38932000000.0,35.90827517447657,2.8100277406760505,0.888342584094518,,,,,,,
2023-Q2,332160000000.0,2916000000.0,24687000000.0,52860000000.0,112913000000.0,10578000000.0,120075000000.0,8131000000.0,2898000000.0,1.52,15847050000.0,62158000000.0,41976000000.0,930000000.0,7482000000.0,270002000000.0,97041000000.0,24160000000.0,28560000000.0,28318000000.0,28382000000.0,17936000000.0,7457000000.0,94836000000.0,,6201000000.0,15723406000.0,31185000000.0,2686000000.0,4222000000.0,107600000000.0,,,,,,,,107600000000.0,82913000000.0,-82913000000.0,25644000000.0,-0.19050139133106847,-0.19050139133106847,0.44261672782487665,0.2985996878822388,0.25475557805052934,0.9403539454507599,0.3239402697495183,0.30115146147032773,0.27040364418575225,1.0614238410596026,0.030747817284575478,0.07863047787759922,,0.028322577923995108,-0.006810599184568167,0.07117322402037392,0.40644320141313034,0.14875625396377987,24105520400.25368,0.16586576482217333,31216000000.0,30.449462365591398,3.4469502819067146,0.8780428898605038,,,,,,,
2023-Q3,335038000000.0,2093000000.0,28408000000.0,45384000000.0,122659000000.0,7216000000.0,124963000000.0,8158000000.0,3052000000.0,1.26,15775021000.0,60274000000.0,36413000000.0,998000000.0,7351000000.0,274764000000.0,98071000000.0,19881000000.0,26380000000.0,22998000000.0,22733000000.0,19549000000.0,7442000000.0,81797000000.0,,5973000000.0,15647868000.0,34074000000.0,2617000000.0,2852000000.0,105300000000.0,,,,,,,,105300000000.0,76892000000.0,-76892000000.0,24287000000.0,-0.13748998270698887,-0.13748998270698887,0.44516302553883397,0.2811594557257601,0.24305292370135825,0.9815625425125837,0.3142927070959115,0.3225057153685343,0.2969179798770126,1.2216186308535788,0.025587735491521695,0.09098133183368583,,0.03199383840483147,-0.004545262367443792,0.05959550238459947,0.3247680345007841,0.12545638499098227,20112754057.97739,0.14252386510611573,26050000000.0,23.044088176352705,4.042226487523992,0.9227371301905364,,,,,,,
2024-Q1,353514000000.0,2392000000.0,40760000000.0,64720000000.0,143692000000.0,10954000000.0,133973000000.0,8264000000.0,2848000000.0,2.18,15576641000.0,74100000000.0,54855000000.0,,6511000000.0,279414000000.0,95088000000.0,33916000000.0,39895000000.0,40373000000.0,40323000000.0,23194000000.0,7696000000.0,119575000000.0,,6786000000.0,15460223000.0,32340000000.0,2997000000.0,6407000000.0,106000000000.0,,,,,,,,106000000000.0,65240000000.0,-65240000000.0,37503000000.0,0.46185067912026123,0.46185067912026123,0.4587497386577462,0.337637466025507,0.2836378841731131,1.072544467915177,0.2998466821681744,0.3336399749111436,0.3136357934350826,1.10576129260526,0.02000418147606105,0.06436127953167468,,0.025063767509931004,-0.012575577553906259,0.09851398296715426,0.504800035721196,0.15889194752374575,33958055402.62381,0.24562255721484388,43221000000.0,,2.4525115106082693,1.0239451232711068,,,,,,,
2024-Q2,337411000000.0,1996000000.0,32695000000.0,48482000000.0,128416000000.0,10762000000.0,123822000000.0,8012000000.0,2836000000.0,1.53,15464709000.0,74194000000.0,42271000000.0,,6232000000.0,263217000000.0,91831000000.0,23636000000.0,22690000000.0,27900000000.0,28058000000.0,21837000000.0,7903000000.0,90753000000.0,,6468000000.0,15337686000.0,34455000000.0,2964000000.0,4422000000.0,102600000000.0,,,,,,,,102600000000.0,69905000000.0,-69905000000.0,20694000000.0,-0.24103700606314027,-0.24103700606314027,0.46578074554009236,0.30742785362467356,0.26044318094167684,1.0371016459110658,0.3040801870715537,0.2500192831090983,0.2280255198175267,0.875528854290066,0.021993763291571627,0.08708252068802133,,0.03266007735281478,-0.007185888151367115,0.0684184245757499,0.31877216879981657,0.1576021099151757,23502901133.3666,0.16584098259848926,30736000000.0,,3.3381051535658512,0.9867713330425933,,,,,,,
2024-Q3,331612000000.0,2151000000.0,25565000000.0,46099000000.0,125435000000.0,12114000000.0,131624000000.0,8053000000.0,2850000000.0,1.4,15348175000.0,66708000000.0,39678000000.0,,6165000000.0,264904000000.0,86196000000.0,21448000000.0,28858000000.0,25352000000.0,25494000000.0,22795000000.0,8006000000.0,85777000000.0,,6320000000.0,15222259000.0,36236000000.0,2869000000.0,4046000000.0,98300000000.0,,,,,,,,98300000000.0,72735000000.0,-72735000000.0,26707000000.0,-0.05483014335614245,-0.05483014335614245,0.462571551814589,0.29555708406682446,0.25004371801298714,0.9529796997508053,0.2964307684884745,0.336430511675624,0.3113538594261865,1.2451976874300634,0.025076652249437496,0.09333504319339683,,0.0334471944693799,-0.007535479652413746,0.06411737713053213,0.3044385459397312,0.1587040087863811,21328535969.247665,0.15044357427998437,28202000000.0,,3.4855683994042974,0.9061417370692275,,,,,,,
2025-Q1,344085000000.0,2940000000.0,30299000000.0,66025000000.0,133240000000.0,10848000000.0,144365000000.0,8461000000.0,3080000000.0,2.4,15150865000.0,66758000000.0,58275000000.0,,6911000000.0,277327000000.0,83956000000.0,36330000000.0,29935000000.0,42832000000.0,42584000000.0,29639000000.0,8268000000.0,124300000000.0,,7175000000.0,15040731000.0,23476000000.0,3286000000.0,6254000000.0,94800000000.0,,,,,,,,94800000000.0,64501000000.0,-64501000000.0,26995000000.0,0.44910640381454225,0.44910640381454225,0.4688254223652454,0.34458567980691873,0.2922767497988737,0.9229383853427077,0.2755133179301626,0.2408286403861625,0.21717618664521318,0.7430498210845031,0.023652453740949316,0.06651649235720032,,0.026436041834271923,-0.012855600095776909,0.10753340624569889,0.5444083137278408,0.14686267142588766,36541578057.48638,0.2699764172964099,45912000000.0,,2.0648196549921587,0.8750666712845911,,,,,,,
2025-Q2,331233000000.0,3071000000.0,28162000000.0,50492000000.0,118674000000.0,13638000000.0,144571000000.0,8976000000.0,2661000000.0,1.65,15056133000.0,66796000000.0,44867000000.0,,6269000000.0,264437000000.0,78566000000.0,24780000000.0,23952000000.0,29589000000.0,29310000000.0,26136000000.0,8550000000.0,95359000000.0,,6728000000.0,14939315000.0,20336000000.0,3226000000.0,4530000000.0,92200000000.0,,,,,,,,92200000000.0,64038000000.0,-64038000000.0,20881000000.0,-0.23283185840707965,-0.23283185840707965,0.47050619238876246,0.31029058610094484,0.25986010759341016,0.8208700223419635,0.2783539079741451,0.25117713063266184,0.2189725143929781,0.8426553672316384,0.03220461623968372,0.0896611751381621,,0.03383005274803637,-0.0062525802982206224,0.07338764848560234,0.37108585291342827,0.15455475946775846,25015879222.108498,0.19089315031006932,32250000000.0,,2.8589147286821706,0.7775072455748386,,,,,,,
2025-Q3,331495000000.0,3462000000.0,36269000000.0,50318000000.0,122491000000.0,9345000000.0,141120000000.0,8979000000.0,2830000000.0,1.57,14948179000.0,65830000000.0,43718000000.0,,5925000000.0,265665000000.0,82430000000.0,23434000000.0,27867000000.0,28202000000.0,28031000000.0,27557000000.0,8866000000.0,94036000000.0,,6650000000.0,14856722000.0,19103000000.0,3168000000.0,4597000000.0,91800000000.0,,,,,,,,91800000000.0,55531000000.0,-55531000000.0,24405000000.0,-0.01387388710032611,-0.01387388710032611,0.4649070568718363,0.2999064188183249,0.24920243311072354,0.8679917800453515,0.2769272538047331,0.29634395337955677,0.25952826577055593,1.0414355210378083,0.03681568760900081,0.09428304053766642,,0.033689225403037135,-0.007170101379949334,0.07071981265315484,0.3533847058646118,0.16399700331775535,23576956512.432663,0.18697402020208698,31032000000.0,,2.9582366589327145,0.8260062358276644,,,,,,,
